name,category,description,quantity,weight,productionDate,expirationDate,batchNumber,variety,farmName,farmLocation,temperature,humidity,certifications,allergens
"Manzanas Red Delicious","FRUITS","Manzanas frescas de temporada, dulces y crujientes",150,"75kg","2025-01-01","2025-02-15","BATCH-2025-001","Red Delicious","Finca San Miguel","Valle del Jerte, Cáceres",4,85,"Orgánico,GlobalGAP",""
"Lechugas Hidropónicas","VEGETABLES","Lechugas cultivadas en sistema hidropónico controlado",200,"50kg","2025-01-02","2025-01-16","BATCH-2025-002","Romana","Invernaderos La Vega","Almería, Andalucía",2,90,"Sin Pesticidas,HACCP",""
"Tomates Cherry","VEGETABLES","Tomates cherry dulces, perfectos para ensaladas",300,"45kg","2025-01-03","2025-01-20","BATCH-2025-003","Cherry","Huerta El Sol","Murcia, España",6,80,"Orgánico,Rainforest Alliance",""
"Naranjas Valencia","FRUITS","Naranjas jugosas de Valencia, ricas en vitamina C",500,"125kg","2024-12-15","2025-03-01","BATCH-2024-348","Valencia","Citrus Farms Valencia","Valencia, España",8,75,"Fair Trade,Orgánico",""
"Fresas Frescas","FRUITS","Fresas dulces y aromáticas de temporada",80,"20kg","2025-01-04","2025-01-11","BATCH-2025-004","Camarosa","Fresa Dorada","Huelva, Andalucía",2,95,"Orgánico,ISO 22000",""
"Zanahorias Baby","VEGETABLES","Zanahorias tiernas, ideales para snacks saludables",120,"30kg","2025-01-01","2025-03-01","BATCH-2025-005","Baby","Campo Verde","Segovia, Castilla y León",4,85,"GlobalGAP,BRC",""
"Pimientos Rojos","VEGETABLES","Pimientos rojos dulces, ricos en antioxidantes",90,"27kg","2025-01-02","2025-01-25","BATCH-2025-006","California Wonder","Huertos del Norte","Navarra, España",8,75,"Sin Pesticidas,HACCP",""
"Uvas Tempranillo","FRUITS","Uvas de mesa dulces, variedad tempranillo",200,"80kg","2024-09-15","2025-01-15","BATCH-2024-258","Tempranillo","Viñedos Rioja","La Rioja, España",12,70,"Fair Trade,Orgánico",""
"Brócoli Fresco","VEGETABLES","Brócoli verde fresco, rico en nutrientes",100,"40kg","2025-01-03","2025-01-17","BATCH-2025-007","Calabrese","Verde Natural","León, Castilla y León",2,90,"Orgánico,GlobalGAP",""
"Plátanos Canarios","FRUITS","Plátanos de Canarias, dulces y naturales",300,"90kg","2024-12-20","2025-01-20","BATCH-2024-354","Cavendish","Platanera Atlántica","Tenerife, Canarias",14,80,"Rainforest Alliance,Fair Trade",""
"Calabacines Verdes","VEGETABLES","Calabacines tiernos, perfectos para cocinar",150,"37.5kg","2025-01-04","2025-01-25","BATCH-2025-008","Black Beauty","Huerta Mediterránea","Alicante, Valencia",8,80,"Sin Pesticidas,HACCP",""
